976010,I hate this game,N/A,N/A,N/A,Mar 2019,0;
792100,7 Billion Humans,-66%,$5.09,88.93%,Aug 2018,0;
1055430,Swords and Sandals Classic Collection,-30%,$6.99,88.90%,Apr 2019,120;
582500,We Were Here,N/A,N/A,N/A,Feb 2017,396;
1509960,PICO PARK,-20%,$2.39,88.81%,May 2021,162;
218620,PAYDAY 2,-90%,$0.99,88.76%,Aug 2013,192;
1749630,Chill Corner,N/A,N/A,N/A,Dec 2021,0;
619150,while True: learn(),-35%,$4.73,88.69%,Jan 2019,0;
1732750,Havsala: Into the Soul Palace,-70%,$0.74,88.49%,Jun 2022,0;
287390,Metro: Last Light Redux,-90%,$1.49,88.33%,Aug 2014,96;
286690,Metro 2033 Redux,-90%,$1.49,88.32%,Aug 2014,53;
20920,The Witcher 2: Assassins of Kings Enhanced Edition,-85%,$2.24,88.24%,May 2011,0;
1727210,MINDHACK,-20%,$10.39,88.18%,Apr 2023,0;
1555110,Chasing Tails ~A Promise in the Snow~,-51%,$3.91,88.14%,Aug 2021,0;
207080,Indie Game: The Movie,-75%,$3.49,88.10%,Jun 2012,0;
412020,Metro Exodus,-80%,$4.59,88.04%,Feb 2019,15;
323850,Move or Die,-75%,$0.99,87.93%,Jan 2016,40;
209080,Guns of Icarus Online,-39%,$3.04,87.79%,Oct 2012,44;
280160,Aragami,-85%,$1.57,87.73%,Oct 2016,672;
936790,Life is Strange: True Colors,-70%,$13.49,87.73%,Sep 2021,1386;
538070,Bad Dream: Coma,-90%,$0.89,87.69%,Mar 2017,491;
383870,Firewatch,N/A,N/A,N/A,Feb 2016,372;
316790,Grim Fandango Remastered,-77%,$3.44,87.55%,Jan 2015,0;
241260,Sherlock Holmes: Crimes and Punishments,-90%,$1.79,87.49%,Sep 2014,0;
20900,The Witcher: Enhanced Edition Director's Cut,-85%,$1.12,87.43%,Sep 2008,26;
730,Counter-Strike 2,N/A,N/A,N/A,Aug 2012,71832;
236430,DARK SOULS™ II,N/A,N/A,N/A,Apr 2014,72;
261550,Mount & Blade II: Bannerlord,-40%,$11.99,87.02%,Oct 2022,15816;
823130,Totally Accurate Battlegrounds,N/A,N/A,N/A,Jun 2018,28;
2610,GUN™,-67%,$6.59,86.98%,Nov 2005,0;
356190,Middle-earth™: Shadow of War™,-85%,$7.49,86.94%,Oct 2017,0;
340,Half-Life 2: Lost Coast,N/A,N/A,N/A,Oct 2005,0;
1151640,Horizon Zero Dawn™ Complete Edition,-75%,$12.49,86.78%,Aug 2020,0;
